created,political_level
2023-04-23T19:59:45.630,canton
2023-04-23T19:59:45.630,canton
2023-04-23T19:59:45.630,canton
2023-04-23T19:59:45.630,canton
2023-04-23T19:59:45.630,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
2023-03-01T08:21:25.120,canton
